,symbol,date,Sales Change,Net Profit Margin Change,EPS Change,prev_qtr_sales_change,prev_qtr_npm_change,prev_qtr_eps_change,Price Change
7665,RCF,2017-06-30,1.251792678732503,3.6035576682725923,2.7777777777777803,-29.597877486192832,-47.01495577056016,-63.0,1.0
7666,RCF,2017-09-30,1.705856793801809,-75.5665010997557,-74.68354430379748,15.515163944932961,-54.54615573234097,-45.945945945945944,1.0
7667,RCF,2017-12-31,18.145674868168886,-76.26706988609072,-72.41379310344827,10.136709647351251,50.7941393572358,60.0,0.0
7668,RCF,2018-03-31,-11.068747067104646,-39.70472121046888,-46.0,-0.711817275044583,66.02554853546295,68.75000000000001,0.0
7669,RCF,2018-06-30,24.55969441382316,-10.184847638547586,13.513513513513512,-1.3927435271673778,-21.074088786339594,-22.22222222222223,0.0
7670,RCF,2018-09-30,28.802791895070907,28.077629475853826,60.0,19.450161565850948,-35.18219953646747,-23.809523809523807,1.0
7671,RCF,2018-12-31,18.561655567086135,134.9120579228135,181.25000000000003,1.3797173367104747,176.57727383052531,181.25000000000003,0.0
7672,RCF,2019-03-31,15.020827731071119,42.654685330755946,62.962962962962955,-3.677045446820082,0.8220803675165955,-2.222222222222224,0.0
7673,RCF,2019-06-30,23.977607178875008,-72.00240866758124,-66.66666666666666,6.285895773231348,-84.50989953414157,-84.0909090909091,0.0
7674,RCF,2019-09-30,5.819969071587644,-214.93975527517247,-221.875,1.9556086790510816,-366.09939527643496,-378.57142857142856,0.0
7675,RCF,2019-12-31,-5.423790747476121,66.13355760370283,57.777777777777764,-9.392249450459985,499.76391409390624,464.10256410256414,0.0
7676,RCOM,2015-03-31,-1.3318534961154271,-0.7790958020762965,-18.134034165571613,-5.223880597014925,377.39686385355674,355.32786885245906,0.0
7677,RCOM,2015-06-30,-6.589292399850244,-10.050025423982294,15.000000000000005,-6.449193850768655,-138.29549866964098,-135.47351524879616,0.0
7678,RCOM,2015-09-30,-8.154020385050963,-34.42896599083097,-18.90756302521009,-2.4849699398797593,-31.209705031318464,-28.054298642533944,1.0
7679,RCOM,2015-12-31,87.52665245202559,118.04871649101325,128.27868852459017,116.89272503082616,112.9488466609413,124.38162544169612,0.0
7680,RCOM,2016-03-31,110.61117360329959,-95.24573946868055,-88.60353130016051,6.4430547659655115,-26.930152513203954,2.898550724637684,0.0
7681,RCOM,2016-06-30,110.78156312625251,107.66312283255498,109.95475113122173,-6.373508990564359,-38.273658267953756,-69.01408450704226,0.0
7682,RCOM,2016-09-30,-9.083436087135224,-34.7974298795737,-22.614840989399294,-57.93877162958737,-2408.031777637808,-1677.2727272727273,0.0
7683,RCOM,2016-12-31,-8.622323289747962,-370.27355680404213,-411.59420289855075,117.99276672694394,74.03711000506935,38.04034582132566,1.0
7684,RCOM,2017-03-31,-23.233042549403596,-901.8872129725562,-650.7042253521126,-10.576524263790958,-116.79433625095325,-81.86046511627907,0.0
7685,RCOM,2017-06-30,-33.561513595740635,-2146.329823839262,-2350.0,-18.97031539888683,-57.5189776808465,-26.598465473145783,0.0
7686,RCOM,2017-09-30,18.21880650994575,-165.3193824799943,-216.71469740634004,-25.157412707498565,-199.25066763585792,-122.020202020202,1.0
7687,RCOM,2017-12-31,-76.27540439651597,0.01144050223804843,104.65116279069768,-56.25239005736138,90.21559621190617,100.90991810737033,0.0
7688,RCOM,2018-03-31,-77.99165120593692,-9426.496022906635,-1721.4833759590792,-17.045454545454543,-20555.266887104393,-71320.0,0.0
7689,RCOM,2018-06-30,-71.20778477389811,1.2588929234510373,74.74747474747475,6.006322444678609,98.36733273132387,98.2448750351025,1.0
7690,RCOM,2018-09-30,-62.63862332695985,212.49457069800997,137.85259326660602,-2.8827037773359843,440.9327319035491,432.8,1.0
7691,RCOM,2018-12-31,-6.468531468531468,-118.44021914276507,-969.9999999999999,9.518935516888433,-118.999204089503,-120.91346153846155,0.0
