Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
500245,KIRLFER,B,53.00,56.60,53.00,55.20,5223,2.84,74
540425,SHANKARA,A,253.70,260.00,249.00,251.35,1111,2.82,86
526947,LAOPALA,B,160.00,164.90,158.30,163.70,1726,2.79,197
531349,PANACEABIO,B,137.00,153.00,119.00,129.40,2139,2.78,173
500404,SUNFLAG,B,28.00,28.00,26.50,26.90,10175,2.77,124
504067,ZENSARTECH,A,91.50,91.50,86.95,89.95,3117,2.77,1007
533080,MOLDTKPAC,B,179.00,179.00,176.10,178.00,1547,2.75,110
532661,RML,B,197.30,197.30,180.30,192.70,1471,2.75,128
532413,CEREBRAINT,T,26.50,27.90,26.50,27.65,9920,2.72,47
533552,RUPA,B,149.40,150.00,146.05,148.90,1831,2.71,148
542678,CHCL,M,22.65,22.70,22.05,22.70,12000,2.71,5
543172,COSPOWER,M,67.30,67.35,67.30,67.35,4000,2.69,2
509496,ITDCEM,A,39.00,41.00,39.00,39.85,6568,2.65,79
500268,MANALIPETC,B,16.15,16.59,15.40,15.89,16430,2.62,94
532163,SAREGAMA,B,264.00,288.00,246.65,267.50,975,2.59,115
524669,HESTERBIO,B,1012.30,1045.25,995.00,1015.95,257,2.59,59
526829,CONFIPET,B,20.00,20.00,19.10,19.93,13081,2.57,48
534076,ORIENTREF,B,146.00,151.80,141.65,149.05,1753,2.57,129
533207,JPINFRATEC,T,0.82,0.82,0.76,0.82,315842,2.56,120
500780,ZUARIGLOB,B,40.30,41.75,39.55,41.00,6351,2.55,126
532515,TVTODAY,B,205.50,208.50,200.70,207.50,1229,2.54,28
532498,SHRIRAMCIT,A,779.95,779.95,715.05,732.95,347,2.53,22
506618,PUNJABCHEM,B,376.00,440.00,375.00,426.30,604,2.53,60
530343,GENUSPOWER,B,16.50,16.70,16.05,16.34,15089,2.50,101
504212,UNIVCABLES,B,101.35,103.50,101.20,101.70,2443,2.48,260
500235,KSL,B,139.35,144.85,137.05,140.15,1758,2.45,54
540642,SALASAR,B,78.95,79.80,76.85,77.30,3131,2.45,122
500097,DALMIASUG,B,63.00,64.70,59.65,62.35,3969,2.44,89
532856,TIMETECHNO,A,34.60,37.35,34.55,35.50,6865,2.43,52
531717,VIDHIING,B,56.50,60.80,56.50,59.95,4106,2.43,143
532757,VOLTAMP,B,904.00,904.00,888.85,890.85,271,2.42,119
533151,DBCORP,A,78.60,78.60,77.60,77.75,3069,2.39,449
540544,PSPPROJECT,B,356.05,359.25,352.00,354.15,662,2.35,130
538836,MONTECARLO,B,158.10,158.65,152.85,156.75,1504,2.34,86
500250,LGBBROSLTD,B,190.20,191.60,185.30,186.55,1234,2.33,101
532924,KOLTEPATIL,B,162.00,169.00,156.05,164.15,1437,2.31,60
