Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
532483,CANBK,A,84.25,84.30,79.60,82.90,2007334,1650.45,6372
522113,TIMKEN,A,801.20,834.20,801.20,818.15,200370,1623.03,136
500470,TATASTEEL,A,266.00,269.65,259.25,268.55,595883,1580.40,8905
532296,GLENMARK,A,316.00,329.80,313.10,318.10,491541,1580.28,8659
532210,CUB,A,128.00,128.25,124.80,125.55,1240770,1575.07,1020
532149,BANKINDIA,A,35.00,35.00,33.85,34.35,4493439,1542.88,3595
500087,CIPLA,A,592.05,611.00,585.15,587.10,235467,1395.12,5666
500410,ACC,A,1151.20,1243.35,1120.10,1231.10,113773,1344.47,7932
500182,HEROMOTOCO,A,1815.00,1904.15,1800.00,1888.75,70801,1325.12,6020
500820,ASIANPAINT,A,1707.00,1821.50,1707.00,1812.65,72275,1297.44,6103
524715,SUNPHARMA*,A,473.25,482.25,469.50,474.25,271304,1292.69,6397
532868,DLF,A,132.00,135.20,130.00,133.50,923522,1226.49,7702
532286,JINDALSTEL,A,84.00,86.35,80.50,85.00,1444922,1203.05,4975
500830,COLPAL,A,1422.00,1518.30,1407.25,1506.70,80252,1182.27,7977
532978,BAJAJFINSV,A,4600.00,4813.70,4488.85,4773.45,24408,1135.76,4669
500295,VEDL,A,76.40,77.10,73.40,76.10,1444419,1085.10,6280
500209,INFY,A,633.20,645.30,628.10,642.05,166193,1062.78,5766
517334,MOTHERSUMI,A,72.80,74.75,70.50,73.15,1338427,979.84,5379
500547,BPCL,A,359.00,359.90,337.15,356.60,270890,943.54,5765
532466,OFSS,A,2067.15,2067.15,1995.00,2006.85,46491,934.41,564
532321,CADILAHC,A,340.95,341.00,327.50,331.35,277042,922.18,8778
539844,EQUITAS,A,46.75,47.90,43.55,47.10,1985596,894.84,4855
541153,BANDHANBNK,A,196.00,200.65,190.15,198.85,454554,892.86,7218
500495,ESCORTS,A,728.00,755.00,713.35,749.65,120236,890.66,4011
500257,LUPIN,A,818.00,829.40,803.00,806.45,101446,825.53,3991
535648,JUSTDIAL,A,315.85,345.80,313.30,343.35,246211,818.57,3841
543066,SBICARD,B,526.05,535.60,520.25,532.05,147219,777.16,11815
505200,EICHERMOT,A,13451.30,13944.40,13209.15,13699.55,5716,777.04,2303
532523,BIOCON,A,359.00,364.30,354.50,360.55,198134,714.25,5183
500440,HINDALCO,A,107.70,108.75,102.85,108.30,665048,703.01,4843
500331,PIDILITIND,A,1489.00,1546.65,1458.15,1536.90,46435,700.87,3723
532134,BANKBARODA,A,48.70,48.90,47.05,48.30,1457749,698.74,16756
500520,M&M,A,329.15,345.60,320.55,340.35,205661,692.42,5756
508869,APOLLOHOSP,A,1355.00,1367.50,1311.85,1349.40,51431,690.82,3190
523445,RIIL,B,271.00,302.80,262.00,290.35,245287,687.49,7970
539448,INDIGO,A,986.00,1010.00,953.75,960.40,69735,679.47,4367
500790,NESTLEIND,A,17200.00,17682.30,16855.10,17638.85,3878,675.02,1757
532977,BAJAJ-AUTO,A,2315.55,2411.10,2304.75,2382.35,26963,639.51,2369
532784,SOBHA,A,246.00,247.00,223.50,223.50,257129,626.75,785
541019,HGINFRA,B,177.75,186.20,176.10,184.90,335485,609.32,130
500298,NATPEROX,X,1911.00,1933.45,1850.00,1871.20,31891,602.77,2866
500825,BRITANNIA,A,2868.00,2966.65,2830.55,2952.25,20680,602.36,3091
532955,RECLTD,A,91.00,91.05,89.10,90.30,658261,591.10,2341
526371,NMDC,A,74.00,75.00,72.10,74.60,775990,570.07,2599
533155,JUBLFOOD,A,1530.00,1534.00,1488.55,1510.55,37641,569.77,3712
500114,TITAN,A,940.00,955.00,923.00,952.20,59308,558.23,2600
500302,PEL,A,810.00,844.50,805.60,840.15,67135,556.63,4042
533519,L&TFH,A,59.70,59.80,56.85,59.30,899435,526.46,3070
532531,STAR,A,325.35,338.00,323.75,334.40,157237,522.84,3883
507685,WIPRO,A,178.00,179.55,174.80,178.60,290689,517.55,2425
500469,FEDERALBNK,A,44.10,44.40,42.00,44.10,1187227,513.51,2965
511243,CHOLAFIN,A,144.00,154.30,137.25,150.75,347770,502.35,7797
500228,JSWSTEEL,A,159.85,162.90,155.65,161.10,312438,497.30,2935
541729,HDFCAMC,A,2613.90,2644.45,2575.35,2625.75,18871,493.74,3403
532720,M&MFIN,A,154.00,154.00,145.00,150.80,326283,487.66,6324
540133,ICICIPRULI,A,366.40,372.05,356.45,370.15,133653,485.62,5733
530965,IOC,A,83.00,83.80,79.20,83.10,590212,480.48,3367
540777,HDFCLIFE,A,496.00,508.45,490.80,503.75,92923,462.42,3370
500800,TATACONSUM,A,315.00,334.95,310.05,330.15,136968,441.14,6045
500104,HINDPETRO,A,217.40,217.40,206.55,212.70,208054,439.25,3417
540222,LAURUSLABS,A,469.00,494.00,461.00,469.10,92094,438.33,5648
500086,EXIDEIND,A,141.30,148.55,138.45,147.20,297577,437.01,5803
500477,ASHOKLEY,A,44.85,45.30,43.55,44.95,979022,436.22,3249
500043,BATAINDIA,A,1200.00,1224.10,1171.00,1215.85,35990,433.21,2774
532514,IGL,A,450.50,450.60,435.75,446.75,96900,427.96,3434
503806,SRF,A,3287.65,3462.00,3287.65,3445.65,12408,422.92,1757
500420,TORNTPHARM,A,2395.00,2453.00,2366.05,2445.15,17425,422.25,3460
517354,HAVELLS,A,503.35,521.40,487.10,517.45,83127,418.68,3045
500253,LICHSGFIN,A,262.00,265.75,252.20,263.05,160833,416.51,3517
524494,IPCALAB,A,1609.80,1609.80,1550.00,1560.45,26461,414.86,3922
533106,OIL,A,83.00,87.00,74.90,86.10,501005,403.19,5013
532343,TVSMOTOR,A,310.50,311.00,296.40,302.30,131392,398.43,2507
532689,PVR,A,1028.90,1028.90,980.05,992.60,39310,391.38,3791
539874,UJJIVAN,A,161.30,163.30,150.55,160.15,248040,387.12,4820
532832,IBREALEST,A,57.20,58.85,56.30,58.85,660337,385.86,1062
505255,GMM,B,3449.00,3771.90,3430.00,3742.65,10469,381.18,2542
532538,ULTRACEMCO,A,3426.30,3458.00,3378.55,3438.70,11081,379.21,1830
531213,MANAPPURAM,A,104.90,104.90,97.55,102.05,374005,376.46,3269
500294,NCC,A,25.50,26.90,24.50,26.70,1400001,360.10,4334
512237,JAICORPLTD,A,65.00,70.50,64.50,67.70,526218,356.14,5694
533278,COALINDIA,A,138.10,141.25,135.00,140.75,245621,339.29,3171
500096,DABUR,A,500.00,504.50,496.00,502.75,67632,338.97,2190
500575,VOLTAS,A,505.00,507.15,485.00,503.55,68064,338.42,3249
532555,NTPC,A,97.25,98.65,94.95,97.60,340952,331.76,3251
500113,SAIL,A,26.75,26.75,25.40,26.30,1270007,330.18,30519
540767,NAM-INDIA,A,265.75,265.75,251.55,258.95,124462,320.94,5454
532522,PETRONET,A,213.70,229.55,212.75,222.05,143232,320.02,3292
509480,BERGEPAINT,A,535.60,537.00,520.00,530.30,60043,318.22,2196
532810,PFC,A,87.95,87.95,85.40,87.20,361944,312.45,2204
512599,ADANIENT,A,139.40,139.40,132.30,137.60,222215,300.96,2639
500103,BHEL,A,21.70,21.80,20.90,21.35,1392775,296.27,3396
532281,HCLTECH,A,455.00,469.10,450.10,462.60,63397,292.41,2428
506767,ALKYLAMINE,B,1460.45,1755.45,1428.45,1749.90,16704,287.37,2415
500290,MRF,A,58877.30,59400.05,57878.10,58221.10,487,285.20,432
500425,AMBUJACEM,A,169.95,177.70,166.45,176.70,160635,276.24,2954
533096,ADANIPOWER,A,31.50,33.00,29.60,32.50,849996,266.30,2915
500493,BHARATFORG,A,259.50,263.00,250.50,256.90,103856,266.13,3133
500877,APOLLOTYRE,A,92.00,95.35,90.00,94.40,282619,264.75,2025
532872,SPARC,A,141.40,146.45,138.95,142.95,183500,263.68,5470
500049,BEL,A,75.90,77.60,75.00,76.55,343808,262.60,1993
532155,GAIL,A,83.00,85.00,80.25,84.20,316934,260.78,2232
500048,BEML,A,595.00,595.00,554.05,574.05,45189,259.56,2778
539437,IDFCFIRSTB,A,23.75,24.35,22.85,24.00,1088603,257.42,14773
532477,UNIONBANK,A,28.50,28.75,28.00,28.45,902742,257.35,921
542337,SPENCER,B,76.95,84.00,75.65,81.00,316555,256.32,6009
539957,MGL,A,943.00,946.05,902.30,930.60,27631,253.31,2308
532488,DIVISLAB,A,2398.35,2412.25,2365.10,2383.75,10475,250.54,1248
522287,KALPATPOWR,A,219.95,241.10,218.15,229.80,108417,250.06,5374
532374,STRTECH*,A,88.00,94.30,84.95,91.65,267420,241.24,4208
500101,ARVIND,A,25.45,25.60,24.80,25.00,942658,238.34,1911
539450,SHK,A,84.50,88.80,74.80,75.85,283903,232.27,8149
532777,NAUKRI,A,2388.40,2507.00,2374.65,2496.35,9307,229.48,1924
540376,DMART,T,2220.00,2314.90,2205.20,2292.70,9946,225.92,1170
540719,SBILIFE,A,690.00,709.30,675.25,704.75,31968,219.94,2235
532424,GODREJCP,A,533.50,534.00,515.55,531.55,41132,216.35,2529
500304,NIITLTD,B,82.45,89.75,81.45,86.40,247574,215.80,3184
532733,SUNTV,A,374.00,377.80,353.05,375.65,56795,207.34,1813
532482,GRANULES,A,158.00,164.00,157.45,160.55,128446,206.87,3934
532478,UBL,A,906.00,930.40,903.45,924.75,22470,205.94,1080
532921,ADANIPORTS,A,257.15,273.75,257.15,272.05,76211,204.49,1685
532755,TECHM,A,515.00,521.80,507.85,518.60,39416,203.97,1800
500008,AMARAJABAT,A,510.00,559.95,503.85,557.70,36994,201.46,2430
540173,PNBHOUSING,A,209.90,214.50,198.00,207.50,95590,201.27,1310
532461,PNB,A,31.45,31.45,30.25,31.15,648360,199.92,1794
500550,SIEMENS,A,1140.05,1158.65,1111.00,1131.95,16384,185.39,1435
500111,RELCAPITAL,A,6.04,6.42,6.03,6.42,2879110,184.25,922
502355,BALKRISIND,A,882.00,886.65,837.90,877.95,21468,183.86,1904
500878,CEATLTD,A,786.00,833.95,767.00,820.50,22527,183.22,1451
500201,INDIAGLYCO,B,280.10,296.00,269.00,281.70,63334,181.66,2667
534816,INFRATEL,A,169.00,169.00,164.20,167.50,107124,178.55,1848
531642,MARICO,A,296.10,310.90,294.00,308.80,58316,177.76,2483
532541,NIITTECH,A,1042.75,1109.00,1022.95,1085.10,16385,173.20,2190
522205,PRAJIND,B,63.75,68.50,62.25,66.00,263084,173.10,3334
506401,DEEPAKNI,A,450.00,464.90,445.50,457.20,37813,172.89,2538
500260,RAMCOCEM,A,557.85,563.30,540.70,560.20,30845,171.69,1418
532880,OMAXE,A,161.85,161.85,155.75,156.05,109751,171.23,208
532475,APTECHT,B,85.90,94.85,85.40,91.55,188700,170.96,2760
541195,MIDHANI,B,210.65,213.40,203.15,210.35,80439,167.92,2235
532898,POWERGRID,A,160.95,162.75,156.65,162.25,105162,167.82,2047
500271,MFSL,A,412.50,446.25,412.50,439.80,38396,166.13,1867
500300,GRASIM,A,510.00,513.25,503.00,509.95,32543,165.27,1427
500163,GODFRYPHLP,A,969.95,1082.00,937.95,1043.00,15766,159.74,2174
534309,NBCC,A,22.45,22.45,21.15,21.80,738421,159.39,1104
530999,BALAMINES,B,320.50,401.50,320.50,391.75,40351,156.96,1286
500730,NOCIL,A,83.00,83.00,78.50,79.85,194300,156.14,2525
523261,VENKYS,A,1200.00,1210.00,1133.45,1133.45,13249,153.25,1823
500330,RAYMOND,A,246.65,260.65,244.50,248.75,59108,151.76,1282
500400,TATAPOWER,A,32.75,33.30,31.65,32.50,463387,150.78,1900
532497,RADICO,A,296.90,299.85,288.50,294.25,50933,149.84,1723
523618,DREDGECORP,B,194.05,221.70,187.10,217.60,72373,148.44,5407
511196,CANFINHOME,A,291.00,295.00,285.55,290.45,50003,145.49,1489
500408,TATAELXSI,A,735.00,735.00,709.30,720.35,19806,142.84,1558
532800,TV18BRDCST,A,18.35,20.50,17.65,20.50,740398,142.04,2887
532234,NATIONALUM,A,33.00,34.10,32.15,33.65,421767,140.37,20093
500116,IDBI,A,21.50,21.70,20.95,21.35,661534,140.34,695
524230,RCF,A,36.95,40.25,35.60,39.10,349751,130.94,1964
532819,MINDTREE,A,747.00,748.55,722.00,731.50,17328,126.67,716
540005,LTI,A,1469.00,1469.00,1385.05,1417.60,8692,122.82,1437
504966,TINPLATE,B,82.55,83.80,80.30,83.10,147561,122.39,2367
500339,RAIN,A,73.80,73.80,67.85,71.40,167006,117.84,1986
509488,GRAPHITE,A,228.00,228.00,219.50,228.00,51475,116.87,734
500488,ABBOTINDIA,A,16700.00,16764.55,16252.65,16462.20,690,113.54,355
542066,ADANIGAS,A,99.00,99.50,96.25,97.95,116138,113.41,2501
524075,ALBERTDA,B,406.00,471.05,404.10,471.05,25226,113.00,2143
500285,SPICEJET,A,45.00,45.40,43.60,44.20,253514,111.72,1814
539876,CROMPTON,A,222.70,225.20,213.35,218.85,50264,110.67,2371
542652,POLYCAB,B,758.55,762.85,729.05,732.40,14699,108.68,1378
532939,RPOWER,A,1.91,1.99,1.91,1.99,5472256,107.67,7115
532848,DELTACORP*,A,70.20,71.90,65.90,70.40,154401,107.43,1493
522108,YUKEN,X,397.85,403.20,379.00,393.70,26631,105.06,194
540699,DIXON,B,4030.00,4250.00,3960.30,4199.95,2507,103.76,1045
500085,CHAMBLFERT,A,130.00,131.65,124.55,128.15,80879,103.48,3069
570001,TATAMTRDVR,A,34.50,35.40,33.25,34.70,299918,102.56,1643
532714,KEC,A,181.00,190.25,181.00,182.75,54328,100.13,2375
539334,SHREEPUSHK,B,85.00,85.00,81.00,82.55,120648,99.04,177
532953,VGUARD,A,171.00,182.90,167.75,170.75,56760,99.00,2249
540716,ICICIGI,A,1160.00,1160.00,1127.00,1139.00,8612,98.29,1810
500850,INDHOTEL,A,82.60,83.60,76.85,77.80,121652,95.67,2788
500480,CUMMINSIND,A,401.15,413.50,400.65,411.20,23167,94.70,859
500670,GNFC,A,135.00,140.15,128.85,137.40,70653,94.61,2900
541450,ADANIGREEN,A,192.50,198.40,185.00,196.70,49154,94.31,860
532712,RCOM,B,0.79,0.80,0.77,0.80,11892719,94.30,1012
530005,INDIACEM,A,103.40,104.50,100.90,103.25,89290,91.69,1189
500387,SHREECEM,A,18838.05,19600.00,18647.55,19293.80,476,90.78,288
501425,BBTC,A,824.40,884.00,821.00,871.40,10384,89.07,1213
500530,BOSCHLTD,A,10030.00,10537.85,9835.10,10384.15,868,88.77,394
500164,GODREJIND,A,270.00,280.00,260.70,264.95,32570,87.05,2184
532524,PTC,A,40.25,42.25,40.20,40.80,211044,86.65,1631
533150,GODREJPROP,A,675.00,679.00,655.35,668.90,13033,86.55,1846
541179,ISEC,A,318.75,329.00,316.35,320.85,26017,83.69,1216
532505,UCOBANK,A,15.00,15.90,14.50,14.88,532173,80.15,1891
500672,NOVARTIND,B,604.00,610.00,594.00,602.60,13274,80.15,661
538566,APOLLOTRI,XT,297.90,297.90,277.85,294.75,28157,79.77,413
500084,CESC,A,605.40,610.05,585.55,604.80,13233,79.17,878
531337,JUMPNET,B,49.70,49.70,48.15,48.90,157015,76.54,77
500870,CASTROLIND,A,113.15,118.50,113.15,117.25,64715,75.35,1158
532814,INDIANB,A,50.65,50.85,48.60,49.00,146839,72.51,1748
524200,VINATIORGA,A,867.00,887.70,860.20,876.15,8101,70.70,819
540611,AUBANK,A,553.00,564.95,528.95,529.80,13193,70.54,1008
539336,GUJGAS,A,252.00,272.75,250.60,268.00,26602,69.67,1977
532331,AJANTPHARM,A,1320.25,1351.90,1283.10,1291.60,5297,69.57,737
509930,SUPREMEIND,A,975.20,1060.00,967.00,1036.65,6808,69.20,1373
539678,QUICKHEAL,B,97.75,112.00,97.75,107.65,65080,69.08,2217
532798,NETWORK18,B,23.00,23.75,21.10,23.75,294259,68.48,1191
532790,TANLA,B,63.25,63.25,58.10,63.25,109744,68.46,378
500378,JINDALSAW,A,52.60,53.40,51.30,51.60,129510,67.76,1340
506590,PHILIPCARB,A,80.10,86.60,79.95,82.05,80138,66.45,1565
500020,BOMDYEING,A,52.00,54.00,50.60,51.95,128120,66.44,1698
532926,JYOTHYLAB,A,113.20,119.85,112.40,116.95,55922,65.45,2465
500390,RELINFRA,A,17.92,18.04,17.60,18.04,362499,65.12,727
533274,PRESTIGE,A,178.40,187.00,174.00,182.90,34620,63.24,1695
532827,PAGEIND,A,17510.00,17550.00,17153.75,17468.90,362,62.92,223
500680,PFIZER,A,4260.00,4273.00,4165.05,4173.20,1480,62.25,469
532430,BFUTILITIE,B,165.60,177.60,161.70,173.60,37040,61.98,1003
530019,JUBILANT,A,359.70,368.05,356.45,368.05,16861,61.79,542
532865,MEGH,A,51.45,51.80,48.35,49.15,124163,61.78,842
532772,DCBBANK,A,93.55,93.55,85.45,88.10,70541,61.62,3372
533273,OBEROIRLTY,A,364.90,378.10,342.45,353.40,17133,61.55,1233
523598,SCI,A,44.70,45.40,43.55,43.80,139019,61.32,1072
532221,SONATSOFTW,A,186.00,195.00,178.45,190.85,32035,60.62,1689
513434,TATAMETALI,A,406.25,425.00,394.60,412.15,14745,60.48,757
523457,LINDEINDIA,A,525.45,525.45,501.10,515.85,11506,59.17,619
530007,JKTYRE,A,50.10,54.60,48.40,52.70,112923,58.59,1932
535755,ABFRL,A,128.90,132.00,121.40,122.00,46781,58.42,2661
523642,PIIND,A,1411.35,1488.00,1377.30,1473.55,3980,57.71,1015
531599,FDC,A,228.15,249.90,228.15,245.15,23586,57.60,1383
505726,IFBIND,B,480.00,485.00,436.00,438.00,12527,57.36,634
539524,LALPATHLAB,A,1484.00,1499.00,1445.50,1484.70,3877,56.76,748
500032,BAJAJHIND,B,4.69,4.70,4.34,4.53,1273306,56.07,1159
500125,EIDPARRY,A,149.50,154.80,142.60,147.00,37367,55.54,1803
508486,HAWKINCOOK,B,4622.60,4768.00,4622.60,4760.10,1174,55.53,252
539978,QUESS,A,201.00,210.00,200.00,207.65,26700,54.90,683
539523,ALKEM,A,2585.55,2585.55,2522.45,2541.00,2136,54.38,401
542649,RVNL,B,17.80,17.80,17.00,17.50,310464,53.94,7328
532209,J&KBANK,A,18.74,18.74,16.62,17.24,314748,53.79,1094
542752,AFFLE,T,1499.00,1545.00,1409.00,1461.90,3605,52.75,486
509874,SHALPAINTS,B,69.00,69.65,66.00,67.10,77580,52.51,1675
523610,ITI,A,82.50,82.50,76.65,78.40,66708,52.31,1128
524164,IOLCP,B,264.65,268.85,261.00,261.55,19447,51.27,796
542650,METROPOLIS,B,1188.25,1229.40,1188.25,1211.15,4191,51.12,1117
500038,BALRAMCHIN,A,100.10,104.00,97.60,100.95,50188,50.90,1021
540064,FRETAIL,A,93.75,93.75,93.75,93.75,53774,50.41,69
532843,FORTIS,A,118.95,124.55,117.95,123.60,41462,50.28,1064
500620,GESHIP,A,211.00,231.35,209.00,222.30,22222,49.63,2072
500645,DEEPAKFERT,A,84.90,90.40,80.95,86.75,58407,49.45,1333
540755,GICRE,A,146.55,152.40,145.00,146.20,33194,49.39,1652
532667,SUZLON,A,3.19,3.19,3.04,3.04,1583933,48.79,614
530549,SHILPAMED,B,410.00,429.55,400.00,413.75,11317,48.04,334
526299,MPHASIS,A,679.35,684.00,652.85,672.40,7153,47.82,1288
533271,ASHOKA,A,62.00,65.05,57.45,64.10,76413,47.41,1067
532504,NAVINFLUOR,A,1418.60,1427.00,1406.95,1415.30,3299,46.73,480
541956,IRCON,B,87.00,87.75,83.30,84.85,54504,46.11,1190
506687,TRANSPEK,X,1339.00,1390.00,1315.00,1376.75,3381,45.85,131
532162,JKPAPER,B,93.90,94.00,90.65,92.10,48715,44.90,864
531344,CONCOR,A,365.50,370.65,358.85,366.95,12146,44.40,554
505710,GRAUWEIL,B,40.80,40.80,38.40,38.55,113845,44.38,900
500288,MOREPENLAB,B,17.67,17.67,17.67,17.67,251009,44.35,174
530813,KRBL,A,211.70,216.00,207.80,207.80,20935,43.59,252
540691,ABCAPITAL,A,49.10,50.20,48.40,49.40,86367,42.43,802
500055,TATASTLBSL,B,16.50,16.85,16.30,16.70,253650,42.21,527
532300,WOCKPHARMA,A,269.70,269.70,260.00,263.35,15855,41.97,559
512573,AVANTI,A,397.00,410.00,392.00,396.50,10537,41.89,431
532942,KNRCON,A,218.00,218.00,207.00,208.55,19777,41.54,1192
532779,TORNTPOWER,A,291.60,298.20,286.00,296.75,14001,41.17,389
540180,VBL,A,610.60,657.05,610.60,650.70,6389,40.94,1009
500355,RALLIS,A,202.00,202.60,192.55,199.15,20683,40.86,770
524816,NATCOPHARM,A,618.80,622.70,605.20,607.50,6628,40.62,607
532391,OPTOCIRCUI,B,2.96,2.96,2.68,2.87,1408568,40.57,655
500459,PGHH,A,10742.20,10898.95,10345.45,10738.40,383,40.33,257
539807,INFIBEAM,A,34.95,37.50,34.80,36.95,110254,40.12,632
532947,IRB,A,80.00,80.00,73.50,76.80,52308,40.02,368
532175,CYIENT,A,220.25,220.25,214.15,214.95,18393,39.70,2235
523395,3MINDIA,A,19400.00,19400.00,18687.70,18727.55,208,39.63,159
530517,RELAXO,A,595.95,622.20,592.00,613.50,6303,38.35,434
500251,TRENT,A,474.00,477.20,460.05,473.05,8090,37.99,599
504918,SANDUMA,X,468.00,478.80,458.20,470.90,8143,37.95,341
532382,BALAJITELE,B,53.80,53.80,47.55,51.85,74221,37.42,466
533261,EROSMEDIA,B,19.77,19.77,18.20,19.77,188649,37.24,333
526227,FILATEX,B,29.40,32.30,29.30,32.30,114045,36.51,134
540701,DCAL*,A,81.90,85.20,78.70,83.65,44440,36.48,508
511072,DHFL,A,14.32,14.46,14.05,14.46,248315,35.83,514
506655,SUDARSCHEM,A,407.15,414.50,403.00,409.15,8732,35.61,512
539254,ADANITRANS,A,196.80,199.95,190.45,199.65,18092,35.56,1037
532754,GMRINFRA,A,17.30,17.35,16.90,17.30,206490,35.29,10151
505509,RESPONIND,B,82.50,83.00,80.05,81.35,43017,35.29,230
533573,APLLTD,A,627.80,642.45,624.70,637.60,5543,35.27,349
500027,ATUL,A,4542.35,4605.10,4417.50,4559.30,775,35.15,346
523367,DCMSHRIRAM,A,285.65,285.65,268.00,270.90,12696,34.70,1900
512179,SUNTECK,A,198.00,198.00,186.15,189.30,17927,34.00,408
532532,JPASSOCIAT,A,1.64,1.68,1.60,1.68,2036074,33.61,1137
500033,FORCEMOT,A,844.55,889.50,823.70,863.55,3883,33.45,977
514418,MANORG,X,224.50,238.95,223.00,238.95,14208,33.26,145
500188,HINDZINC,A,170.00,170.20,165.45,166.90,19869,33.20,1070
500052,BEPL,B,36.10,39.75,36.10,38.25,85006,32.26,988
540115,LTTS,A,1221.25,1222.50,1170.35,1180.20,2705,32.17,857
500184,HSCL,A,47.60,49.00,46.15,47.50,67803,32.15,785
503310,SWANENERGY,A,100.70,104.00,98.30,100.45,32119,32.14,474
517385,SYMPHONY,A,975.00,980.40,940.00,942.50,3258,31.29,766
532644,JKCEMENT,A,1148.25,1152.95,1060.00,1146.25,2722,30.58,586
532628,3IINFOTECH,B,1.65,1.89,1.62,1.76,1823194,30.37,624
521064,TRIDENT,A,4.81,5.05,4.81,4.95,607993,29.88,479
532218,SOUTHBANK,A,6.00,6.00,5.81,5.95,504240,29.80,17312
500119,DHAMPURSUG,B,103.50,104.00,97.50,102.10,29296,29.73,493
541556,RITES,A,258.80,258.80,242.80,246.25,12046,29.73,843
500031,BAJAJELEC,A,351.00,357.00,324.10,336.45,8912,29.61,962
532922,EDELWEISS,A,35.60,38.05,35.60,36.70,81286,29.59,594
531162,EMAMILTD*,A,203.10,207.00,199.00,203.70,14529,29.56,664
500110,CHENNPETRO,A,66.75,66.75,62.05,63.85,46601,29.41,2061
507880,VIPIND,A,228.40,228.40,219.00,224.50,13205,29.38,709
508989,NAVNETEDUL,B,72.75,83.00,72.75,76.40,37150,29.35,937
500490,BAJAJHLDNG,A,1975.50,1975.95,1915.60,1951.40,1476,28.78,555
536507,FLFL,A,141.65,141.65,140.00,141.65,20259,28.69,128
533286,MOIL,A,123.20,125.35,117.60,121.45,23593,28.67,976
500335,BIRLACORPN,A,432.40,436.55,420.05,424.60,6569,28.12,751
532539,MINDAIND,A,265.45,274.05,260.60,264.55,10479,27.91,738
524348,AARTIDRUGS,B,652.40,665.00,650.00,658.45,4195,27.68,694
500238,WHIRLPOOL,A,1846.75,1853.00,1817.95,1840.80,1506,27.66,499
541770,CREDITACC,B,420.25,420.25,395.00,420.25,6627,27.55,179
523405,JMFINANCIL,A,71.40,71.40,66.10,67.40,40875,27.52,663
500292,HEIDELBERG,A,155.95,157.10,151.45,155.85,17673,27.25,961
532178,ENGINERSIN,A,66.40,66.65,63.90,66.15,41441,27.18,598
524000,MAGMA,A,19.00,19.80,18.70,19.80,136465,26.68,244
524370,BODALCHEM,B,51.50,53.35,49.55,51.85,51003,26.40,798
523660,WATERBASE,B,92.80,94.30,90.45,91.95,28648,26.40,1221
533033,ISGEC,B,251.50,254.30,247.50,250.60,10438,26.07,147
542726,INDIAMART,B,2190.30,2317.50,2190.30,2263.10,1151,26.02,295
506943,JBCHEPHARM,A,558.00,560.95,555.90,558.75,4641,25.96,310
514162,WELSPUNIND,A,28.10,28.90,28.10,28.15,91903,25.88,235
532885,CENTRALBK,A,17.00,17.30,15.47,16.35,155969,25.36,2662
539889,PARAGMILK,A,85.00,94.55,83.35,90.95,28537,25.31,500
532706,INOXLEISUR,A,219.55,221.95,216.85,220.60,11513,25.25,702
500403,SUNDRMFAST,A,310.75,313.00,295.00,301.35,8266,25.20,273
532144,WELCORP,A,66.05,66.50,63.95,65.05,37960,24.77,524
533148,JSWENERGY,A,42.00,42.00,40.00,40.05,61208,24.66,2813
517146,USHAMART,B,14.95,14.95,14.20,14.30,167290,24.57,69
524742,CAPPL,B,312.45,317.30,300.10,313.20,7792,24.43,1008
500412,TIRUMALCHM,B,45.95,46.50,44.50,46.00,53743,24.30,661
532940,JKIL,B,83.60,88.00,82.40,83.65,28679,24.20,770
530001,GUJALKALI,A,322.80,330.80,313.00,327.95,7597,24.20,810
500233,KAJARIACER,A,364.65,365.45,356.00,359.75,6684,24.05,608
500126,PGHL,A,4085.95,4136.60,4019.00,4114.90,575,23.55,263
533269,WABAG,A,101.10,108.85,101.10,106.20,22290,23.49,924
533344,PFS,B,9.36,10.25,9.15,9.64,237384,23.25,599
541301,ORIENTELEC,A,185.05,188.80,181.40,184.90,12288,22.65,713
500002,ABB,B,905.75,920.00,889.00,906.10,2491,22.49,441
532702,GSPL,A,195.00,195.95,188.00,189.75,11522,22.21,682
517015,VINDHYATEL,B,522.00,539.40,495.00,532.45,4257,22.03,699
540530,HUDCO,A,22.50,22.65,21.85,22.00,98814,21.76,588
539268,SYNGENE,A,312.70,317.50,311.80,314.70,6908,21.71,596
541578,VARROC,A,142.70,154.60,142.50,143.15,15188,21.69,141
517168,SUBROS,B,147.20,161.00,140.55,158.25,13947,21.60,1187
500183,HFCL,A,10.22,11.24,10.22,11.24,190988,21.05,870
507717,DHANUKA,B,439.90,448.95,425.00,439.95,4826,21.01,954
507815,GILLETTE,A,5371.85,5371.85,5281.55,5324.00,394,20.96,186
500171,GHCL,A,107.15,107.15,102.65,104.00,20036,20.72,1003
500660,GLAXO,A,1450.00,1468.00,1432.00,1437.05,1391,20.10,334
533162,HATHWAY,A,17.80,18.97,17.05,18.97,109482,20.06,537
540678,COCHINSHIP,A,258.05,259.70,253.00,254.25,7814,19.96,564
500108,MTNL,B,7.61,7.61,7.22,7.22,274249,19.90,2849
500042,BASF,A,1067.75,1073.90,1035.30,1063.95,1867,19.65,1022
532809,FSL,A,34.50,36.80,33.60,34.80,55323,19.43,504
524404,MARKSANS,B,20.44,20.95,20.00,20.32,94927,19.40,355
